period,MA+PhD,PhD
yr 1 fall,3 courses,3 courses
yr 1 spring,3 courses,3 courses
yr 1 summer,1 course,(open)
yr 2 fall,3 courses; MA exam,3 courses
yr 2 spring,2 courses; teach UCWR,502; teach UCWR
yr 2 summer,1 course,(open)
yr 3 fall,2 courses; teach UCWR,610; PhD exam; teach UCWR
yr 3 spring,3 courses,610; diss prop.
yr 3 summer,1 course,1 chapter
yr 4 fall,502,600; 1 chapter
yr 4 spring,610; PhD qual. exam,600; 1 chapter
yr 4 summer,diss prop.,1 chapter
yr 5 fall,610; 1 chapter; apps (job and 6th yr),600; apps (job and 6th yr)
yr 5 spring,600; 1 chapter,600; defense
yr 5 summer,1 chapter,
yr 6 fall,600; 1 chapter; job apps,
yr 6 spring,600; defense,
